Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement
The school is planning a field trip . There are number0 students and number1 seats on each school bus . How many buses are needed to take the trip ?,45.0 9.0,/ number0 number1,5.0,"[9, 10, 11, 12, 13, 14, 26, 27, 28]",The school is planning a field trip . There are number0 students and number1 seats on each school bus .,How many buses are needed to take the trip ?
"Sam got number0 pennies for washing clothes , and number1 quarters for mowing lawns . How much money does Sam have ?",9.0 7.0,+ * number0 0.01 * number1 0.25,1.84,"[1, 2, 3, 8, 9, 10, 18, 19, 20]","Sam got number0 pennies for washing clothes , and number1 quarters for mowing lawns .",How much money does Sam have ?
Tim has number0 books . Sam has number1 books . How many books do they have together ?,44.0 52.0,+ number0 number1,96.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",Tim has number0 books . Sam has number1 books .,How many books do they have together ?
"The library is divided into different sections for different type of books . The science fiction section has number0 books . If each book has number1 pages , how many pages do all the books have in total ?",8.0 478.0,* number0 number1,3824.0,"[17, 18, 19, 24, 25, 26, 35, 36, 37]","The library is divided into different sections for different type of books . The science fiction section has number0 books . If each book has number1 pages ,",how many pages do all the books have in total ?
Warren has number0 guests coming to his party . Each table will hold number1 guests . How many tables will he need ?,252.0 4.0,/ number0 number1,63.0,"[1, 2, 3, 12, 13, 14, 19, 20, 21]",Warren has number0 guests coming to his party . Each table will hold number1 guests .,How many tables will he need ?
Jason had number0 quarters in his bank . His dad gave him number1 quarters . How many quarters does he have now ?,49.0 25.0,+ number0 number1,74,"[1, 2, 3, 11, 12, 13, 19, 20, 21]",Jason had number0 quarters in his bank . His dad gave him number1 quarters .,How many quarters does he have now ?
There are number0 marbles . number1 marbles more are added . How many are there total ?,4.0 7.0,+ number0 number1,11.0,"[1, 2, 3, 4, 5, 6, 13, 14, 15]",There are number0 marbles . number1 marbles more are added .,How many are there total ?
"Tom found number0 seashells and Fred found number1 seashells on the beach . When they cleaned them , they discovered that number2 were cracked . How many seashells did they find together ?",15.0 43.0 29.0,+ number0 number1,58,"[1, 2, 3, 6, 7, 8, 20, 21, 22, 29, 30, 31]","Tom found number0 seashells and Fred found number1 seashells on the beach . When they cleaned them , they discovered that number2 were cracked .",How many seashells did they find together ?
Jessica weighs number0 pounds . Thomas weighs number1 pounds . How much heavier is Jessica than Thomas ?,49.0 44.0,- number0 number1,5.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",Jessica weighs number0 pounds . Thomas weighs number1 pounds .,How much heavier is Jessica than Thomas ?
"At a restaurant each adult meal costs $ number0 and kids eat free . If a group of number1 people came in and number2 were kids , how much would it cost for the group to eat ?",3.0 12.0 7.0,* number0 - number1 number2,15.0,"[7, 8, 9, 17, 18, 19, 22, 23, 24, 34, 35, 36]","At a restaurant each adult meal costs $ number0 and kids eat free . If a group of number1 people came in and number2 were kids ,",how much would it cost for the group to eat ?
Lucy went to the grocery store . She bought number0 packs of cookies and number1 packs of noodles . How many packs of groceries did she buy in all ?,12.0 16.0,+ number0 number1,28.0,"[8, 9, 10, 13, 14, 15, 28, 29, 30]",Lucy went to the grocery store . She bought number0 packs of cookies and number1 packs of noodles .,How many packs of groceries did she buy in all ?
"Last year at Newberg 's airport , number0 passengers landed on time . Unfortunately , number1 passengers landed late . In all , how many passengers landed in Newberg last year ?",14507.0 213.0,+ number0 number1,14720.0,"[6, 7, 8, 14, 15, 16, 28, 29, 30]","Last year at Newberg 's airport , number0 passengers landed on time . Unfortunately , number1 passengers landed late . In all ,",how many passengers landed in Newberg last year ?
Rupert and Ronald aced their math test . So their mother bought for them a wonderful trampoline yesterday . Ronald jumped number0 times on the trampoline . Rupert jumped number1 more times than Ronald . How many times did they jump altogether ?,157.0 86.0,+ number0 number1,243.0,"[20, 21, 22, 30, 31, 32, 43, 44, 45]",Rupert and Ronald aced their math test . So their mother bought for them a wonderful trampoline yesterday . Ronald jumped number0 times on the trampoline . Rupert jumped number1 more times than Ronald .,How many times did they jump altogether ?
"At the fair Kaleb bought number0 tickets . After riding the ferris wheel he had number1 tickets left . If each ticket cost number2 dollars , how much money did Kaleb spend riding the ferris wheel ?",6.0 3.0 9.0,* number2 - number0 number1,27.0,"[4, 5, 6, 14, 15, 16, 22, 23, 24, 33, 34, 35]","At the fair Kaleb bought number0 tickets . After riding the ferris wheel he had number1 tickets left . If each ticket cost number2 dollars ,",how much money did Kaleb spend riding the ferris wheel ?
Gino has number0 popsicle sticks . I have number1 popsicle sticks . What is the sum of our popsicle sticks ?,63.0 50.0,+ number0 number1,113.0,"[1, 2, 3, 7, 8, 9, 17, 18, 19]",Gino has number0 popsicle sticks . I have number1 popsicle sticks .,What is the sum of our popsicle sticks ?
"Albert has number0 oranges stored in boxes . If there are number1 boxes , how many oranges must go in each box ?",35.0 7.0,/ number0 number1,5.0,"[1, 2, 3, 10, 11, 12, 19, 20, 21]","Albert has number0 oranges stored in boxes . If there are number1 boxes ,",how many oranges must go in each box ?
"There are number0 candies in Kathy 's candy collection . If the candies are organized into number1 groups , how big is each group ?",30.0 10.0,/ number0 number1,3.0,"[1, 2, 3, 15, 16, 17, 21, 22, 23]","There are number0 candies in Kathy 's candy collection . If the candies are organized into number1 groups ,",how big is each group ?
There were number0 book shelves . Each book shelf had number1 books . How many books were on the shelves ?,150.0 15.0,* number0 number1,2250.0,"[1, 2, 3, 9, 10, 11, 17, 18, 19]",There were number0 book shelves . Each book shelf had number1 books .,How many books were on the shelves ?
"Luke had number0 dollars in January . By March he had spent number1 dollars . If he got another number2 dollars from his mom , how much money would he have ?",48.0 11.0 21.0,- + number0 number2 number1,58.0,"[1, 2, 3, 11, 12, 13, 18, 19, 20, 28, 29, 30]","Luke had number0 dollars in January . By March he had spent number1 dollars . If he got another number2 dollars from his mom ,",how much money would he have ?
A store had number0 coloring books in stock . They ended up putting them on sale and getting rid of number1 of them . The put the ones they still had onto shelves with number2 on each shelf . How many shelves did they use ?,120.0 39.0 9.0,/ - number0 number1 number2,9.0,"[2, 3, 4, 19, 20, 21, 33, 34, 35, 42, 43, 44]",A store had number0 coloring books in stock . They ended up putting them on sale and getting rid of number1 of them . The put the ones they still had onto shelves with number2 on each shelf .,How many shelves did they use ?
"Frank had number0 dollars . At the store he spent $ number1 on a new game . If he got another number2 dollars for his allowance , how much money does he have now ?",11.0 3.0 14.0,- + number0 number2 number1,22.0,"[1, 2, 3, 10, 11, 12, 20, 21, 22, 31, 32, 33]","Frank had number0 dollars . At the store he spent $ number1 on a new game . If he got another number2 dollars for his allowance ,",how much money does he have now ?
"A new building needed number0 windows . The builder had already installed number1 of them . If it takes number2 hours to install each window , how long will it take him to install the rest ?",12.0 6.0 4.0,* number2 - number0 number1,24.0,"[3, 4, 5, 11, 12, 13, 18, 19, 20, 33, 34, 35]","A new building needed number0 windows . The builder had already installed number1 of them . If it takes number2 hours to install each window ,",how long will it take him to install the rest ?
"A waiter had number0 tables he was waiting on , with number1 women and number2 men at each table . How many customers total did the waiter have ?",6.0 3.0 5.0,* number0 + number1 number2,48.0,"[2, 3, 4, 10, 11, 12, 13, 14, 15, 25, 26, 27]","A waiter had number0 tables he was waiting on , with number1 women and number2 men at each table .",How many customers total did the waiter have ?
"Uncle Dave bought number0 ice cream sandwiches . If he wants to give them to his number1 hungry nieces , how many can each niece get ?",143.0 11.0,/ number0 number1,13.0,"[2, 3, 4, 15, 16, 17, 23, 24, 25]","Uncle Dave bought number0 ice cream sandwiches . If he wants to give them to his number1 hungry nieces ,",how many can each niece get ?
Connie had some marbles . She gave number0 to Juan . Now she has number1 marbles left . How many did she have to start with ?,73.0 70.0,+ number0 number1,143.0,"[6, 7, 8, 13, 14, 15, 23, 24, 25]",Connie had some marbles . She gave number0 to Juan . Now she has number1 marbles left .,How many did she have to start with ?
"Joe had number0 toy cars . If he gets number1 more cars , how many cars will he have then ?",50.0 12.0,+ number0 number1,62.0,"[1, 2, 3, 8, 9, 10, 17, 18, 19]","Joe had number0 toy cars . If he gets number1 more cars ,",how many cars will he have then ?
Sally picked number0 lemons and Mary picked number1 lemons from the lemon tree . How many lemons were picked in total ?,7.0 9.0,+ number0 number1,16,"[1, 2, 3, 6, 7, 8, 18, 19, 20]",Sally picked number0 lemons and Mary picked number1 lemons from the lemon tree .,How many lemons were picked in total ?
"On a recent trip to CA , we averaged number0 miles per hour . On the return trip we averaged number1 miles per hour . Determine the average speed of the trip to CA and back .",50.0 60.0,/ + number0 number1 2.0,54.545,"[8, 9, 10, 19, 20, 21, 33, 34, 35]","On a recent trip to CA , we averaged number0 miles per hour . On the return trip we averaged number1 miles per hour .",Determine the average speed of the trip to CA and back .
Tom found number0 seashells on the beach . he gave Jessica number1 of the seashells . How many seashells does he now have ?,5.0 2.0,- number0 number1,3,"[1, 2, 3, 10, 11, 12, 20, 21, 22]",Tom found number0 seashells on the beach . he gave Jessica number1 of the seashells .,How many seashells does he now have ?
Edward was working as a sacker at a grocery store where he made number0 dollars an hour . On Monday he worked number1 hours and on Tuesday he worked number2 hours . How much money did Edward make in those two days ?,6.0 3.0 5.0,* number0 + number1 number2,48.0,"[12, 13, 14, 21, 22, 23, 28, 29, 30, 39, 40, 41]",Edward was working as a sacker at a grocery store where he made number0 dollars an hour . On Monday he worked number1 hours and on Tuesday he worked number2 hours .,How much money did Edward make in those two days ?
"A waiter had number0 customers in his section . If number1 of them left and the rest of his tables had number2 people at each table , how many tables did he have ?",44.0 12.0 8.0,/ - number0 number1 number2,4.0,"[2, 3, 4, 9, 10, 11, 20, 21, 22, 30, 31, 32]","A waiter had number0 customers in his section . If number1 of them left and the rest of his tables had number2 people at each table ,",how many tables did he have ?
"Louise has number0 oranges stored in boxes . If there are number1 boxes , how many oranges must go in each box ?",42.0 7.0,/ number0 number1,6.0,"[1, 2, 3, 10, 11, 12, 19, 20, 21]","Louise has number0 oranges stored in boxes . If there are number1 boxes ,",how many oranges must go in each box ?
"Isabel baked number0 cupcakes for her school 's bake sale . If her brother , Todd , ate number1 of them how many packages could she make if she put number2 cupcake in each package ?",39.0 21.0 3.0,/ - number0 number1 number2,6.0,"[1, 2, 3, 17, 18, 19, 29, 30, 31, 32, 33, 34]","Isabel baked number0 cupcakes for her school 's bake sale . If her brother , Todd , ate number1 of them",how many packages could she make if she put number2 cupcake in each package ?
"Uncle Dave bought number0 ice cream sandwiches . If he wants to give them to his number1 hungry nieces , how many can each niece get ?",143.0 11.0,/ number0 number1,13.0,"[2, 3, 4, 15, 16, 17, 23, 24, 25]","Uncle Dave bought number0 ice cream sandwiches . If he wants to give them to his number1 hungry nieces ,",how many can each niece get ?
In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school . How many students were in fourth grade at the end ?,11.0 6.0 42.0,- + number0 number2 number1,47.0,"[4, 5, 6, 16, 17, 18, 20, 21, 22, 35, 36, 37]",In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school .,How many students were in fourth grade at the end ?
Tina has number0 bananas . She gets number1 more from Joyce . How many bananas does Tina have in all ?,82.0 3.0,+ number0 number1,85.0,"[1, 2, 3, 6, 7, 8, 17, 18, 19]",Tina has number0 bananas . She gets number1 more from Joyce .,How many bananas does Tina have in all ?
There were number0 boys and number1 girls on the playground at recess . How many children were on the playground at recess ?,27.0 35.0,+ number0 number1,62.0,"[1, 2, 3, 4, 5, 6, 19, 20, 21]",There were number0 boys and number1 girls on the playground at recess .,How many children were on the playground at recess ?
Sara 's high school played number0 basketball games this year . The team won most of their games . They were defeated during number1 games . How many games did they win ?,12.0 4.0,- number0 number1,8,"[4, 5, 6, 22, 23, 24, 29, 30, 31]",Sara 's high school played number0 basketball games this year . The team won most of their games . They were defeated during number1 games .,How many games did they win ?
Robin has number0 packages of gum . There are number1 pieces in each package . How many pieces of gum does Robin have ?,9.0 15.0,* number0 number1,135.0,"[1, 2, 3, 8, 9, 10, 20, 21, 22]",Robin has number0 packages of gum . There are number1 pieces in each package .,How many pieces of gum does Robin have ?
"Jason went to number0 football games this month . He went to number1 games last month , and plans to go to number2 games next month . How many games will he attend in all ?",11.0 17.0 16.0,+ + number0 number1 number2,44,"[2, 3, 4, 11, 12, 13, 21, 22, 23, 32, 33, 34]","Jason went to number0 football games this month . He went to number1 games last month , and plans to go to number2 games next month .",How many games will he attend in all ?
John can read number0 books a day . John reads every Monday and Tuesday . How many books would John read in number1 weeks ?,4.0 6.0,* + number0 number0 number1,48.0,"[2, 3, 4, 21, 22, 23, 21, 22, 23]",John can read number0 books a day . John reads every Monday and Tuesday .,How many books would John read in number1 weeks ?
For Halloween Robin scored number0 pieces of candy . She ate number1 pieces the first night and then her sister gave her number2 more pieces . How many pieces of candy does Robin have now ?,23.0 7.0 21.0,- + number0 number2 number1,37.0,"[3, 4, 5, 10, 11, 12, 21, 22, 23, 32, 33, 34]",For Halloween Robin scored number0 pieces of candy . She ate number1 pieces the first night and then her sister gave her number2 more pieces .,How many pieces of candy does Robin have now ?
There are number0 dogwood trees currently in the park . Park workers will plant number1 dogwood trees today and number2 dogwood trees tomorrow . How many dogwood trees will the park have when the workers are finished ?,39.0 41.0 20.0,+ + number0 number1 number2,100,"[1, 2, 3, 13, 14, 15, 18, 19, 20, 34, 35, 36]",There are number0 dogwood trees currently in the park . Park workers will plant number1 dogwood trees today and number2 dogwood trees tomorrow .,How many dogwood trees will the park have when the workers are finished ?
"Annie has number0 apples . She gets number1 more from Nathan . Later , Annie buys number2 crayons at the store . How many apples does Annie have in all ?",6.0 6.0 10.0,+ number0 number0,12.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17, 27, 28, 29]","Annie has number0 apples . She gets number1 more from Nathan . Later , Annie buys number2 crayons at the store .",How many apples does Annie have in all ?
Kevin starts with number0 cards . He finds another number1 . How many cards does Kevin end with ?,7.0 47.0,+ number0 number1,54.0,"[2, 3, 4, 8, 9, 10, 15, 16, 17]",Kevin starts with number0 cards . He finds another number1 .,How many cards does Kevin end with ?
"Olivia uploaded number0 pictures from her phone and number1 from her camera to facebook . If she sorted the pics into number2 different albums with the same amount of pics in each album , how many pictures were in each of the albums ?",5.0 35.0 8.0,/ + number0 number1 number2,5.0,"[1, 2, 3, 7, 8, 9, 20, 21, 22, 40, 41, 42]","Olivia uploaded number0 pictures from her phone and number1 from her camera to facebook . If she sorted the pics into number2 different albums with the same amount of pics in each album ,",how many pictures were in each of the albums ?
"Olivia was playing a video game where she scores number0 points for each treasure she finds . If she found number1 treasures on the first level and number2 on the second , what would her score be ?",8.0 2.0 2.0,* number0 + number1 number1,32.0,"[8, 9, 10, 19, 20, 21, 26, 27, 28, 34, 35, 36]","Olivia was playing a video game where she scores number0 points for each treasure she finds . If she found number1 treasures on the first level and number2 on the second ,",what would her score be ?
"Nancy 's class is going on a field trip to the zoo . If each van can hold number0 people and there are number1 students and number2 adults going , how many vans will they need ?",5.0 12.0 3.0,/ + number1 number2 number0,3.0,"[17, 18, 19, 22, 23, 24, 25, 26, 27, 33, 34, 35]","Nancy 's class is going on a field trip to the zoo . If each van can hold number0 people and there are number1 students and number2 adults going ,",how many vans will they need ?
William starts with number0 tickets . He buys number1 more . How many tickets does William end with ?,15.0 3.0,+ number0 number1,18.0,"[2, 3, 4, 7, 8, 9, 15, 16, 17]",William starts with number0 tickets . He buys number1 more .,How many tickets does William end with ?
"Sandy has number0 books , Benny has number1 books , and Tim has number2 books . How many books do they have together ?",10.0 24.0 33.0,+ + number0 number1 number2,67.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16, 22, 23, 24]","Sandy has number0 books , Benny has number1 books , and Tim has number2 books .",How many books do they have together ?
Mary got fast food for lunch . Mary spent $ number0 on soup and $ number1 on a salad . Mary paid with a number2 dollar bill . What was the total of the lunch bill ?,1.08 4.8 20.0,+ number0 number1,5.88,"[9, 10, 11, 14, 15, 16, 23, 24, 25, 33, 34, 35]",Mary got fast food for lunch . Mary spent $ number0 on soup and $ number1 on a salad . Mary paid with a number2 dollar bill .,What was the total of the lunch bill ?
"Dalton wants to buy a jump rope that costs $ number0 , a board game that costs $ number1 , and a playground ball that costs $ number2 . He has saved $ number3 from his allowance , and his uncle gave him $ number4 . How much more money does Dalton need to buy the jump rope , the game , and the ball ?",7.0 12.0 4.0 6.0 13.0,- + + number0 number1 number2 + number3 number4,4.0,"[9, 10, 11, 12, 17, 18, 19, 20, 26, 27, 28, 29]","Dalton wants to buy a jump rope that costs $ number0 , a board game that costs $ number1 , and a playground ball that costs $ number2 . He has saved $ number3 from his allowance , and his uncle gave him $ number4 .","How much more money does Dalton need to buy the jump rope , the game , and the ball ?"
There are number0 pencils in the drawer and number1 pencils on the desk . Dan placed number2 pencils on the desk . How many pencils are now there in total ?,43.0 19.0 16.0,+ + number0 number1 number2,78,"[1, 2, 3, 7, 8, 9, 15, 16, 17, 27, 28, 29]",There are number0 pencils in the drawer and number1 pencils on the desk . Dan placed number2 pencils on the desk .,How many pencils are now there in total ?
"Mary went to the mall . She spent $ number0 on a shirt and $ number1 on a jacket . She went to number2 shops . In total , how much money did Mary spend on clothing ?",13.04 12.27 2.0,+ number0 number1,25.31,"[8, 9, 10, 14, 15, 16, 22, 23, 24, 34, 35, 36]","Mary went to the mall . She spent $ number0 on a shirt and $ number1 on a jacket . She went to number2 shops . In total ,",how much money did Mary spend on clothing ?
It takes number0 minutes to bake one pan of cookies . How long will it take to bake number1 pans of cookies ?,7.0 4.0,* number0 number1,28.0,"[1, 2, 3, 17, 18, 19, 19, 20, 21]",It takes number0 minutes to bake one pan of cookies .,How long will it take to bake number1 pans of cookies ?
Oscar 's bus ride to school is number0 mile and Charlie 's bus ride is number1 mile . How much longer is Oscar 's bus ride than Charlie 's ?,0.75 0.25,- number0 number1,0.5,"[6, 7, 8, 14, 15, 16, 26, 27, 28]",Oscar 's bus ride to school is number0 mile and Charlie 's bus ride is number1 mile .,How much longer is Oscar 's bus ride than Charlie 's ?
Jose wandered number0 kilometers at number1 kilometers per hour . How long did Jose wander ?,4.0 2.0,- number0 number1,2.0,"[1, 2, 3, 4, 5, 6, 12, 13, 14]",Jose wandered number0 kilometers at number1 kilometers per hour .,How long did Jose wander ?
Zoe bought two coloring books . One had number0 pictures and the other had number1 . After one week she had already colored number2 of the pictures . How many pictures does she still have to color ?,44.0 44.0 20.0,- + number0 number0 number2,68.0,"[7, 8, 9, 13, 14, 15, 22, 23, 24, 34, 35, 36]",Zoe bought two coloring books . One had number0 pictures and the other had number1 . After one week she had already colored number2 of the pictures .,How many pictures does she still have to color ?
Paige had number0 files on her computer . She deleted number1 of them and put the rest into folders with number2 files in each one . How many folders did Paige end up with ?,27.0 9.0 6.0,/ - number0 number1 number2,3.0,"[1, 2, 3, 9, 10, 11, 19, 20, 21, 31, 32, 33]",Paige had number0 files on her computer . She deleted number1 of them and put the rest into folders with number2 files in each one .,How many folders did Paige end up with ?
"After a party , number0 of the cake is left over . That night , big brother eats number1 of the cake . How much is left over after that ?",0.625 0.25,- number0 number1,0.375,"[3, 4, 5, 17, 18, 19, 27, 28, 29]","After a party , number0 of the cake is left over . That night , big brother eats number1 of the cake .",How much is left over after that ?
George was working as a sacker at a grocery store where he made number0 dollars an hour . On Monday he worked number1 hours and on Tuesday he worked number2 hours . How much money did George make in those two days ?,5.0 7.0 2.0,* number0 + number1 number2,45.0,"[12, 13, 14, 21, 22, 23, 28, 29, 30, 39, 40, 41]",George was working as a sacker at a grocery store where he made number0 dollars an hour . On Monday he worked number1 hours and on Tuesday he worked number2 hours .,How much money did George make in those two days ?
Mrs. Snyder made number0 heart cookies . She made number1 red cookies and the rest are pink . How many pink cookies did she make ?,86.0 36.0,- number0 number1,50.0,"[2, 3, 4, 8, 9, 10, 22, 23, 24]",Mrs. Snyder made number0 heart cookies . She made number1 red cookies and the rest are pink .,How many pink cookies did she make ?
"There are number0 children in the classroom , each student will get number1 pencils . How many pencils will the teacher have to give out ?",4.0 2.0,* number0 number1,8.0,"[1, 2, 3, 11, 12, 13, 22, 23, 24]","There are number0 children in the classroom , each student will get number1 pencils .",How many pencils will the teacher have to give out ?
Sally had number0 pennies and number1 nickels in her bank . Her dad gave her number2 nickels and her mother gave her number3 nickels . How many nickels does Sally have now ?,8.0 7.0 9.0 2.0,+ + number1 number2 number3,18,"[1, 2, 3, 4, 4, 5, 6, 7]",Sally had number0 pennies and number1 nickels in her bank . Her dad gave her number2 nickels and her mother gave her number3 nickels .,How many nickels does Sally have now ?
"At the hardware store , number0 the nails are size 2d and number1 the nails are size 4d . What fraction of the nails are either size 2d or 4d ?",0.25 0.5,+ number0 number1,0.75,"[4, 5, 6, 11, 12, 13, 27, 28, 29]","At the hardware store , number0 the nails are size 2d and number1 the nails are size 4d .",What fraction of the nails are either size 2d or 4d ?
Each banana costs $ number0 . How much do number1 bananas cost ?,5.0 4.0,* number0 number1,20.0,"[3, 4, 5, 8, 9, 10, 9, 10, 11]",Each banana costs $ number0 .,How much do number1 bananas cost ?
Chloe was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens . How many pieces of winter clothing did Chloe have total ?,4.0 2.0 6.0,* number0 + number1 number2,32.0,"[11, 12, 13, 21, 22, 23, 24, 25, 26, 35, 36, 37]",Chloe was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens .,How many pieces of winter clothing did Chloe have total ?
Virginia starts with number0 eggs . Amy takes number1 away . How many eggs does Virginia end with ?,96.0 3.0,- number0 number1,93.0,"[2, 3, 4, 7, 8, 9, 15, 16, 17]",Virginia starts with number0 eggs . Amy takes number1 away .,How many eggs does Virginia end with ?
John needs $ number0 . He has $ number1 . How much more money does he need ?,2.5 0.75,- number0 number1,1.75,"[2, 3, 4, 7, 8, 9, 14, 15, 16]",John needs $ number0 . He has $ number1 .,How much more money does he need ?
Dan had number0 potatoes and number1 cantelopes in the garden . The rabbits ate number2 of the potatoes . How many potatoes does Dan now have ?,7.0 4.0 4.0,- number0 number1,3,"[1, 2, 3, 4, 5, 6, 13, 14, 15, 23, 24, 25]",Dan had number0 potatoes and number1 cantelopes in the garden . The rabbits ate number2 of the potatoes .,How many potatoes does Dan now have ?
"Kevin bought number0 watermelons . The first watermelon was number1 pounds , and the second watermelon was number2 pounds . How many pounds of watermelon did Kevin buy ?",2.0 9.91 4.11,+ number1 number2,14.02,"[1, 2, 3, 8, 9, 10, 16, 17, 18, 25, 26, 27]","Kevin bought number0 watermelons . The first watermelon was number1 pounds , and the second watermelon was number2 pounds .",How many pounds of watermelon did Kevin buy ?
"Isabel uploaded number0 pictures from her phone and number1 from her camera to facebook . If she sorted the pics into number2 different albums with the same amount of pics in each album , how many pictures were in each of the albums ?",2.0 4.0 3.0,/ + number0 number1 number2,2.0,"[1, 2, 3, 7, 8, 9, 20, 21, 22, 40, 41, 42]","Isabel uploaded number0 pictures from her phone and number1 from her camera to facebook . If she sorted the pics into number2 different albums with the same amount of pics in each album ,",how many pictures were in each of the albums ?
"Ashley sold number0 boxes of Samoas . How many cases of number1 boxes , plus extra boxes does Ashley need ?",12.0 12.0,/ number0 number0,1.0,"[1, 2, 3, 10, 11, 12, 17, 18, 19]",Ashley sold number0 boxes of Samoas .,"How many cases of number1 boxes , plus extra boxes does Ashley need ?"
There are number0 rose bushes currently in the park . Park workers will plant number1 more rose bushes today . How many rose bushes will the park have when the workers are finished ?,2.0 4.0,+ number0 number1,6.0,"[1, 2, 3, 13, 14, 15, 30, 31, 32]",There are number0 rose bushes currently in the park . Park workers will plant number1 more rose bushes today .,How many rose bushes will the park have when the workers are finished ?
"Haley and her mom were picking carrots from their garden . Haley picked number0 and her mother picked number1 . If only number2 of the carrots were good , how many bad carrots did they have ?",39.0 38.0 64.0,- + number0 number1 number2,13.0,"[12, 13, 14, 17, 18, 19, 21, 22, 23, 33, 34, 35]","Haley and her mom were picking carrots from their garden . Haley picked number0 and her mother picked number1 . If only number2 of the carrots were good ,",how many bad carrots did they have ?
Sara had number0 quarters and number1 dimes in her bank . Her sister borrowed number2 dimes . How many dimes does Sara have now ?,4.0 8.0 4.0,- number1 number0,4,"[1, 2, 3, 4, 5, 6, 13, 14, 15, 21, 22, 23]",Sara had number0 quarters and number1 dimes in her bank . Her sister borrowed number2 dimes .,How many dimes does Sara have now ?
"If Victor split number0 Skittles between number1 people in her class and kept the left overs , how many Skittles did each classmate get ?",25.0 5.0,/ number0 number1,5.0,"[2, 3, 4, 5, 6, 7, 21, 22, 23]","If Victor split number0 Skittles between number1 people in her class and kept the left overs ,",how many Skittles did each classmate get ?
Mary picked number0 oranges and Jason picked number1 oranges . Keith picked number2 apples . How many oranges were picked in all ?,14.0 41.0 38.0,+ number0 number1,55,"[1, 2, 3, 6, 7, 8, 11, 12, 13, 19, 20, 21]",Mary picked number0 oranges and Jason picked number1 oranges . Keith picked number2 apples .,How many oranges were picked in all ?
"Kaleb had number0 dollars . If he spent number1 bucks on a new game , how many number2 dollar toys could he buy with the money he had left ?",12.0 8.0 2.0,/ - number0 number1 number2,2.0,"[1, 2, 3, 7, 8, 9, 16, 17, 18, 26, 27, 28]","Kaleb had number0 dollars . If he spent number1 bucks on a new game ,",how many number2 dollar toys could he buy with the money he had left ?
number0 children are taking a bus to the zoo . They sit number1 children in every seat . How many seats will the children need in all ?,58.0 2.0,/ number0 number1,29.0,"[0, 1, 11, 12, 13, 24, 25, 26]",number0 children are taking a bus to the zoo . They sit number1 children in every seat .,How many seats will the children need in all ?
Sara had number0 quarters in her bank . Her dad gave her number1 more quarters . How many quarters does she have now ?,21.0 49.0,+ number0 number1,70.0,"[1, 2, 3, 11, 12, 13, 20, 21, 22]",Sara had number0 quarters in her bank . Her dad gave her number1 more quarters .,How many quarters does she have now ?
There are number0 dogwood trees currently in the park . Park workers will plant number1 more dogwood trees today and number2 more dogwood trees tomorrow . How many dogwood trees will the park have when the workers are finished ?,39.0 41.0 20.0,+ + number0 number1 number2,100.0,"[1, 2, 3, 15, 16, 17, 21, 22, 23, 38, 39, 40]",There are number0 dogwood trees currently in the park . Park workers will plant number1 more dogwood trees today and number2 more dogwood trees tomorrow .,How many dogwood trees will the park have when the workers are finished ?
Stanley ran number0 mile and walked number1 mile . How much farther did Stanley run than walk ?,0.4 0.2,- number0 number1,0.2,"[1, 2, 3, 5, 6, 7, 14, 15, 16]",Stanley ran number0 mile and walked number1 mile .,How much farther did Stanley run than walk ?
Shawn has number0 blocks . Mildred has with number1 blocks . Mildred finds another number2 . How many blocks does Mildred end with ?,13.0 2.0 84.0,+ number1 number2,86.0,"[1, 2, 3, 7, 8, 9, 13, 14, 15, 20, 21, 22]",Shawn has number0 blocks . Mildred has with number1 blocks . Mildred finds another number2 .,How many blocks does Mildred end with ?
"Melanie picked number0 plums , Dan picked number1 plums , and Sally picked number2 plums from the plum tree . How many plums were picked in total ?",4.0 9.0 3.0,+ + number0 number1 number2,16,"[1, 2, 3, 6, 7, 8, 12, 13, 14, 24, 25, 26]","Melanie picked number0 plums , Dan picked number1 plums , and Sally picked number2 plums from the plum tree .",How many plums were picked in total ?
Jessica had number0 quarters in her bank . Her sister borrowed number1 of her quarters . How many quarters does Jessica have now ?,8.0 3.0,- number0 number1,5,"[1, 2, 3, 10, 11, 12, 20, 21, 22]",Jessica had number0 quarters in her bank . Her sister borrowed number1 of her quarters .,How many quarters does Jessica have now ?
It took Amanda number0 hours to stroll to Kimberly 's house at number1 miles per hour . How far is it between Amanda 's house and Kimberly 's house ?,3.0 2.0,* number0 number1,6.0,"[2, 3, 4, 11, 12, 13, 26, 27, 28]",It took Amanda number0 hours to stroll to Kimberly 's house at number1 miles per hour .,How far is it between Amanda 's house and Kimberly 's house ?
